episode,final_score,outcome,epsilon
0,-1040,eaten_by_wumpus,0.4
1,-1020,fell_in_pit,0.39980000000000004
2,-700,timeout,0.39960010000000007
3,923,escaped_with_gold,0.3994002999500001
4,-1046,fell_in_pit,0.3992005998000251
5,994,escaped_with_gold,0.3990009995001251
6,-1084,fell_in_pit,0.39880149900037504
7,-1026,fell_in_pit,0.3986020982508749
8,978,escaped_with_gold,0.3984027972017495
9,-1010,eaten_by_wumpus,0.3982035958031486
10,883,escaped_with_gold,0.39800449400524707
11,-1017,eaten_by_wumpus,0.3978054917582445
12,961,escaped_with_gold,0.3976065890123654
13,985,escaped_with_gold,0.39740778571785923
14,-1025,fell_in_pit,0.3972090818250003
15,-1020,fell_in_pit,0.39701047728408784
16,-1062,eaten_by_wumpus,0.3968119720454458
17,945,escaped_with_gold,0.3966135660594231
18,-1030,fell_in_pit,0.39641525927639343
19,-1036,eaten_by_wumpus,0.39621705164675525
20,853,escaped_with_gold,0.3960189431209319
21,-1021,fell_in_pit,0.39582093364937143
22,993,escaped_with_gold,0.3956230231825468
23,973,escaped_with_gold,0.3954252116709555
24,993,escaped_with_gold,0.39522749906512006
25,964,escaped_with_gold,0.3950298853155875
26,-1102,fell_in_pit,0.39483237037292973
27,-1207,fell_in_pit,0.3946349541877433
28,-1030,fell_in_pit,0.39443763671064946
29,-1040,eaten_by_wumpus,0.39424041789229414
30,-1043,fell_in_pit,0.394043297683348
31,-709,timeout,0.39384627603450634
32,-1030,eaten_by_wumpus,0.3936493528964891
33,-1031,fell_in_pit,0.3934525282200409
34,953,escaped_with_gold,0.3932558019559309
35,993,escaped_with_gold,0.39305917405495294
36,943,escaped_with_gold,0.3928626444679255
37,994,escaped_with_gold,0.39266621314569156
38,-1034,fell_in_pit,0.39246988003911876
39,972,escaped_with_gold,0.39227364509909923
40,993,escaped_with_gold,0.3920775082765497
41,-1103,eaten_by_wumpus,0.39188146952241143
42,-1084,fell_in_pit,0.39168552878765023
43,-1034,eaten_by_wumpus,0.3914896860232564
44,-700,timeout,0.3912939411802448
45,-1131,fell_in_pit,0.3910982942096547
46,964,escaped_with_gold,0.3909027450625499
47,-709,timeout,0.39070729369001866
48,-1052,eaten_by_wumpus,0.3905119400431737
49,-1022,fell_in_pit,0.3903166840731521
50,-1088,eaten_by_wumpus,0.3901215257311156
51,-1039,eaten_by_wumpus,0.38992646496825006
52,-1002,eaten_by_wumpus,0.389731501735766
53,952,escaped_with_gold,0.3895366359848981
54,-700,timeout,0.3893418676669057
55,932,escaped_with_gold,0.3891471967330723
56,955,escaped_with_gold,0.3889526231347058
57,-1031,fell_in_pit,0.3887581468231385
58,841,escaped_with_gold,0.38856376774972695
59,927,escaped_with_gold,0.3883694858658521
60,964,escaped_with_gold,0.3881753011229192
61,988,escaped_with_gold,0.38798121347235776
62,-1102,fell_in_pit,0.3877872228656216
63,974,escaped_with_gold,0.3875933292541888
64,949,escaped_with_gold,0.3873995325895617
65,-1011,eaten_by_wumpus,0.387205832823267
66,-1030,fell_in_pit,0.38701222990685535
67,868,escaped_with_gold,0.38681872379190196
68,-1026,fell_in_pit,0.38662531443000603
69,-1063,eaten_by_wumpus,0.386432001772791
70,-1046,fell_in_pit,0.3862387857719046
71,981,escaped_with_gold,0.3860456663790187
72,-1042,eaten_by_wumpus,0.3858526435458292
73,894,escaped_with_gold,0.38565971722405634
74,972,escaped_with_gold,0.3854668873654443
75,-1055,eaten_by_wumpus,0.3852741539217616
76,-1065,eaten_by_wumpus,0.38508151684480074
77,-1016,eaten_by_wumpus,0.38488897608637834
78,968,escaped_with_gold,0.38469653159833517
79,-1025,fell_in_pit,0.384504183332536
80,918,escaped_with_gold,0.38431193124086976
81,-1007,eaten_by_wumpus,0.3841197752752494
82,-1023,fell_in_pit,0.3839277153876118
83,-1083,fell_in_pit,0.383735751529918
84,-700,timeout,0.3835438836541531
85,-1034,fell_in_pit,0.383352111712326
86,-1061,fell_in_pit,0.3831604356564699
87,967,escaped_with_gold,0.3829688554386417
88,-1008,eaten_by_wumpus,0.38277737101092235
89,-1029,fell_in_pit,0.3825859823254169
90,-1055,eaten_by_wumpus,0.38239468933425425
91,-1024,fell_in_pit,0.38220349198958714
92,911,escaped_with_gold,0.38201239024359235
93,-1143,fell_in_pit,0.38182138404847055
94,982,escaped_with_gold,0.38163047335644634
95,-1092,eaten_by_wumpus,0.38143965811976815
96,-1078,eaten_by_wumpus,0.3812489382907083
97,-709,timeout,0.38105831382156297
98,-1021,eaten_by_wumpus,0.3808677846646522
99,979,escaped_with_gold,0.3806773507723199
100,960,escaped_with_gold,0.38048701209693375
101,-709,timeout,0.3802967685908853
102,-1181,fell_in_pit,0.38010662020658986
103,-1036,eaten_by_wumpus,0.37991656689648656
104,909,escaped_with_gold,0.37972660861303836
105,-1094,eaten_by_wumpus,0.3795367453087319
106,-1121,fell_in_pit,0.37934697693607755
107,-1052,eaten_by_wumpus,0.3791573034476095
108,-709,timeout,0.3789677247958857
109,-1027,eaten_by_wumpus,0.3787782409334878
110,893,escaped_with_gold,0.37858885181302104
111,-700,timeout,0.37839955738711456
112,-700,timeout,0.37821035760842103
113,-1028,fell_in_pit,0.3780212524296168
114,964,escaped_with_gold,0.377832241803402
115,-1041,fell_in_pit,0.37764332568250036
116,-1070,fell_in_pit,0.37745450401965913
117,-1132,fell_in_pit,0.37726577676764933
118,-1110,eaten_by_wumpus,0.37707714387926555
119,-1031,fell_in_pit,0.37688860530732593
120,-1001,eaten_by_wumpus,0.3767001610046723
121,814,escaped_with_gold,0.37651181092416997
122,989,escaped_with_gold,0.3763235550187079
123,-1045,fell_in_pit,0.37613539324119855
124,963,escaped_with_gold,0.375947325544578
125,-1073,eaten_by_wumpus,0.3757593518818057
126,-700,timeout,0.37557147220586484
127,-1021,fell_in_pit,0.37538368646976195
128,-700,timeout,0.3751959946265271
129,-1098,eaten_by_wumpus,0.37500839662921387
130,-1008,eaten_by_wumpus,0.3748208924308993
131,-1047,eaten_by_wumpus,0.3746334819846838
132,924,escaped_with_gold,0.3744461652436915
133,-1026,eaten_by_wumpus,0.3742589421610697
134,875,escaped_with_gold,0.3740718126899892
135,-1004,eaten_by_wumpus,0.3738847767836442
136,-709,timeout,0.3736978343952524
137,-1049,fell_in_pit,0.3735109854780548
138,-1123,eaten_by_wumpus,0.3733242299853158
139,-1035,fell_in_pit,0.37313756787032315
140,-1121,fell_in_pit,0.372950999086388
141,-1106,fell_in_pit,0.37276452358684486
142,-1009,eaten_by_wumpus,0.37257814132505146
143,-1019,eaten_by_wumpus,0.372391852254389
144,983,escaped_with_gold,0.3722056563282618
145,-1026,fell_in_pit,0.3720195535000977
146,-1037,fell_in_pit,0.37183354372334765
147,986,escaped_with_gold,0.371647626951486
148,-1023,fell_in_pit,0.3714618031380103
149,-1024,fell_in_pit,0.3712760722364413
150,-1012,eaten_by_wumpus,0.3710904342003231
151,950,escaped_with_gold,0.370904888983223
152,-1077,eaten_by_wumpus,0.3707194365387314
153,983,escaped_with_gold,0.3705340768204621
154,-1048,eaten_by_wumpus,0.37034880978205187
155,-1016,eaten_by_wumpus,0.37016363537716085
156,-709,timeout,0.3699785535594723
157,-700,timeout,0.36979356428269256
158,-1105,fell_in_pit,0.3696086675005512
159,-1034,eaten_by_wumpus,0.369423863166801
160,-1021,fell_in_pit,0.3692391512352176
161,-1002,eaten_by_wumpus,0.3690545316596
162,-1037,fell_in_pit,0.3688700043937702
163,-1028,eaten_by_wumpus,0.3686855693915733
164,-1044,fell_in_pit,0.36850122660687756
165,-1026,fell_in_pit,0.36831697599357416
166,-700,timeout,0.3681328175055774
167,-1011,eaten_by_wumpus,0.3679487510968246
168,-700,timeout,0.3677647767212762
169,-1064,eaten_by_wumpus,0.3675808943329156
170,962,escaped_with_gold,0.36739710388574914
171,-1030,fell_in_pit,0.3672134053338063
172,940,escaped_with_gold,0.36702979863113944
173,-1001,eaten_by_wumpus,0.3668462837318239
174,-1038,eaten_by_wumpus,0.366662860589958
175,-1148,fell_in_pit,0.36647952915966303
176,-1022,fell_in_pit,0.36629628939508324
177,-1065,eaten_by_wumpus,0.36611314125038574
178,874,escaped_with_gold,0.36593008467976057
179,-709,timeout,0.36574711963742074
180,-1023,fell_in_pit,0.3655642460776021
181,971,escaped_with_gold,0.3653814639545633
182,-1042,eaten_by_wumpus,0.36519877322258604
183,-1041,fell_in_pit,0.3650161738359748
184,987,escaped_with_gold,0.36483366574905685
185,-1120,eaten_by_wumpus,0.36465124891618234
186,-700,timeout,0.36446892329172426
187,-700,timeout,0.3642866888300784
188,990,escaped_with_gold,0.3641045454856634
189,993,escaped_with_gold,0.3639224932129206
190,-1027,fell_in_pit,0.3637405319663141
191,-1077,eaten_by_wumpus,0.36355866170033097
192,-1141,eaten_by_wumpus,0.36337688236948085
193,-1078,eaten_by_wumpus,0.36319519392829613
194,956,escaped_with_gold,0.363013596331332
195,933,escaped_with_gold,0.36283208953316637
196,-1005,eaten_by_wumpus,0.3626506734883998
197,-1170,fell_in_pit,0.3624693481516556
198,-1065,eaten_by_wumpus,0.3622881134775798
199,-1001,eaten_by_wumpus,0.36210696942084103
200,-1079,eaten_by_wumpus,0.3619259159361306
201,-1124,fell_in_pit,0.36174495297816256
202,-1030,fell_in_pit,0.3615640805016735
203,986,escaped_with_gold,0.3613832984614227
204,-1034,eaten_by_wumpus,0.361202606812192
205,994,escaped_with_gold,0.36102200550878594
206,924,escaped_with_gold,0.3608414945060316
207,-700,timeout,0.3606610737587786
208,984,escaped_with_gold,0.3604807432218992
209,-1012,eaten_by_wumpus,0.3603005028502883
210,970,escaped_with_gold,0.36012035259886316
211,-1017,eaten_by_wumpus,0.35994029242256376
212,-1032,fell_in_pit,0.3597603222763525
213,987,escaped_with_gold,0.35958044211521434
214,-1022,fell_in_pit,0.35940065189415676
215,-1025,fell_in_pit,0.3592209515682097
216,988,escaped_with_gold,0.35904134109242564
217,899,escaped_with_gold,0.3588618204218794
218,-1021,fell_in_pit,0.3586823895116685
219,-1117,eaten_by_wumpus,0.35850304831691265
220,975,escaped_with_gold,0.3583237967927542
221,-1050,eaten_by_wumpus,0.3581446348943579
